customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling
CUST00001,Male,0,No,No,42,No,DSL,Month-to-month,Bank transfer (automatic),44.59,1872.78,No,Yes,No,No,No,Yes,No internet service,No,Yes
CUST00002,Female,0,Yes,Yes,68,Yes,No internet service,Two year,Electronic check,23.17,1575.56,No,No internet service,No internet service,No,Yes,Yes,No,No internet service,No
CUST00003,Male,0,Yes,No,62,Yes,Fiber optic,One year,Electronic check,79.07,4902.34,Yes,No,No internet service,No internet service,No,No internet service,No,Yes,No
CUST00004,Male,0,Yes,No,69,Yes,Fiber optic,One year,Mailed check,85.08,5870.52,No,Yes,Yes,No,Yes,No internet service,Yes,Yes,Yes
CUST00005,Male,1,No,No,64,Yes,DSL,Month-to-month,Credit card (automatic),66.26,4240.64,Yes,No,Yes,Yes,No,No,Yes,Yes,No
CUST00006,Male,0,No,Yes,66,Yes,DSL,Month-to-month,Mailed check,81.36,5369.76,Yes,Yes,Yes,No,No,No internet service,No internet service,Yes,No
CUST00007,Female,0,No,No,53,Yes,Fiber optic,Month-to-month,Mailed check,38.44,2037.32,No,No,Yes,No internet service,No,No internet service,Yes,No,No
CUST00008,Female,0,No,No,35,Yes,No internet service,Two year,Credit card (automatic),92.18,3226.3,No,Yes,Yes,No internet service,No internet service,No internet service,No,No,No
CUST00009,Female,1,Yes,No,70,Yes,Fiber optic,One year,Bank transfer (automatic),99.15,6940.5,No,No internet service,No,Yes,Yes,No internet service,No,No internet service,Yes
CUST00010,Female,0,Yes,Yes,14,No,No internet service,One year,Bank transfer (automatic),94.62,1324.68,No,No internet service,Yes,No,Yes,No,No,No,Yes
CUST00011,Female,0,No,No,17,Yes,Fiber optic,Month-to-month,Mailed check,67.72,1151.24,Yes,No internet service,No,No,No internet service,No internet service,No internet service,No,No
CUST00012,Male,0,Yes,No,3,Yes,Fiber optic,Two year,Credit card (automatic),99.59,298.77,Yes,No internet service,No internet service,Yes,No,Yes,No internet service,Yes,No
CUST00013,Male,0,No,No,10,Yes,DSL,Two year,Bank transfer (automatic),29.71,297.1,No,No internet service,Yes,Yes,No internet service,Yes,No,Yes,No
CUST00014,Female,0,No,Yes,5,Yes,No internet service,Month-to-month,Credit card (automatic),81.2,406.0,No,Yes,No,Yes,No internet service,No internet service,Yes,No,No
CUST00015,Female,0,Yes,No,50,Yes,DSL,Month-to-month,Bank transfer (automatic),85.49,4274.5,No,No,No internet service,No internet service,No,Yes,No internet service,No internet service,No
CUST00016,Male,1,No,No,57,No,No internet service,Month-to-month,Bank transfer (automatic),79.04,4505.28,No,Yes,Yes,No internet service,No,No,No,No internet service,No
CUST00017,Male,1,Yes,No,59,Yes,No internet service,Month-to-month,Electronic check,35.79,2111.61,Yes,No internet service,Yes,Yes,Yes,No internet service,Yes,No internet service,No
CUST00018,Male,0,Yes,No,17,Yes,No internet service,Month-to-month,Electronic check,70.88,1204.96,No,Yes,No internet service,No,No internet service,No internet service,No internet service,No internet service,No
CUST00019,Female,1,No,No,66,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),56.32,3717.12,Yes,Yes,Yes,Yes,No,No,No,Yes,No
CUST00020,Male,0,Yes,No,16,Yes,Fiber optic,Month-to-month,Electronic check,18.25,292.0,No,Yes,No internet service,Yes,Yes,No internet service,No internet service,Yes,No
CUST00021,Female,0,Yes,No,33,Yes,Fiber optic,One year,Mailed check,28.67,946.11,No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No
CUST00022,Male,1,No,No,29,Yes,DSL,Month-to-month,Electronic check,98.84,2866.36,No,No internet service,No internet service,Yes,Yes,No,Yes,No internet service,Yes
CUST00023,Male,0,Yes,No,18,Yes,Fiber optic,Month-to-month,Credit card (automatic),52.06,937.08,No,Yes,No,No internet service,Yes,Yes,Yes,No,No
CUST00024,Female,0,No,No,8,Yes,DSL,Month-to-month,Electronic check,95.68,765.44,Yes,Yes,No,No internet service,Yes,No internet service,No internet service,Yes,Yes
CUST00025,Male,1,Yes,No,39,No,Fiber optic,Month-to-month,Credit card (automatic),98.31,3834.09,Yes,Yes,No internet service,No,No,No internet service,Yes,No,Yes
CUST00026,Male,0,Yes,No,43,Yes,DSL,Two year,Bank transfer (automatic),80.39,3456.77,No,No internet service,No internet service,No internet service,No,No internet service,No,No internet service,Yes
CUST00027,Male,0,No,No,58,Yes,DSL,Month-to-month,Electronic check,45.57,2643.06,No,Yes,No,Yes,Yes,Yes,No internet service,No internet service,No
CUST00028,Female,0,No,No,24,Yes,Fiber optic,Month-to-month,Mailed check,92.33,2215.92,Yes,No,No,Yes,No internet service,No,No,No,Yes
CUST00029,Female,0,Yes,No,70,Yes,Fiber optic,One year,Electronic check,70.41,4928.7,No,No internet service,No,Yes,No internet service,No,Yes,No,Yes
CUST00030,Male,0,No,No,52,Yes,Fiber optic,Month-to-month,Electronic check,65.34,3397.68,Yes,No internet service,No,No,No internet service,No internet service,No internet service,No,No
CUST00031,Female,0,Yes,Yes,47,Yes,DSL,One year,Mailed check,36.65,1722.55,No,Yes,Yes,No internet service,Yes,No,Yes,No internet service,Yes
CUST00032,Male,1,Yes,No,70,Yes,Fiber optic,Month-to-month,Electronic check,48.98,3428.6,No,No internet service,No,Yes,No internet service,Yes,Yes,Yes,No
CUST00033,Female,1,No,Yes,52,Yes,DSL,Month-to-month,Credit card (automatic),37.09,1928.68,Yes,No,No,Yes,No,Yes,Yes,No internet service,Yes
CUST00034,Female,0,Yes,No,48,Yes,Fiber optic,Two year,Electronic check,92.77,4452.96,No,No,Yes,Yes,No internet service,No internet service,No internet service,No,Yes
CUST00035,Female,0,Yes,No,42,Yes,Fiber optic,Two year,Bank transfer (automatic),110.03,4621.26,No,No,Yes,No,Yes,No,No,No internet service,Yes
CUST00036,Male,0,No,No,18,Yes,Fiber optic,Two year,Mailed check,91.71,1650.78,No,No internet service,Yes,No internet service,Yes,Yes,Yes,No,Yes
CUST00037,Female,0,No,No,65,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),69.97,4548.05,No,No internet service,No,No,No internet service,Yes,No internet service,No internet service,Yes
CUST00038,Female,0,No,Yes,33,Yes,DSL,Month-to-month,Mailed check,54.79,1808.07,No,No,No internet service,No internet service,Yes,Yes,No,Yes,No
CUST00039,Female,1,No,Yes,72,Yes,Fiber optic,One year,Bank transfer (automatic),78.29,5636.88,No,No internet service,No,Yes,No,Yes,Yes,Yes,Yes
CUST00040,Male,0,Yes,Yes,53,Yes,Fiber optic,Month-to-month,Bank transfer (automatic),51.49,2728.97,No,No internet service,No internet service,No,Yes,No,No,No,No
